Iter Teff logg FeH aFe Vrad Vrot Inst_R pc_0 pc_1 pc_2 pc_3 pc_4 pc_5 pc_6 pc_7 pc_8 pc_9 logR Dist Av log(lk) log(vol) log(wt) h nc log(z) delta(log(z))
0 6249.01653913 4.7975736713 0.171724267137 0.246515967391 -399.830527893 232.061559577 28127.4563604 0.0996147667282 0.0368411832335 -0.488922331576 -0.0026121806763 -0.242400793517 0.207522784904 0.00100038484187 -0.130164345315 -0.0521779277036 -0.0680291863444 -1.31272507766 15.0180439395 4.44214952519 -13817765.187 -0.0198026272962 -13817769.812 4.63123042509 1 -13817769.812 1e+300 
1 5831.56787631 3.69778361761 -0.141508251182 0.0918782415391 -169.923203107 216.177187281 17520.8485809 0.0653337582581 -0.0483784685313 -0.529367281299 -0.0303285078335 0.0186655632161 -0.136271781095 0.0978077515458 -0.0890893099179 0.0326589523895 0.00627786399358 -0.86420087317 17.4501039553 1.1166618059 -12158307.9465 -0.0396052545924 -12158312.5913 4.64069060981 1 -12158312.5913 11273738.2423 
2 5840.08057668 3.67723033231 -0.238415108855 0.111768077982 -245.257868958 31.3232015633 38431.2185976 0.0590014990085 0.187104232279 -0.535135053549 0.0242912215661 -0.238733239422 0.139715260885 -0.158725614812 -0.065043417793 0.0359885387401 0.0264684240507 0.821419041902 19.7728938011 4.73438687009 -11137683.1241 -0.0594078818885 -11137687.7887 4.67279586755 1 -11137687.7887 9614281.00179 
3 5849.30271599 3.46299052783 -0.202097832118 0.147070914694 352.925340877 153.688142432 19015.2420992 0.090551794774 -0.131243275449 -0.457368466872 -0.00788670547889 -0.0408913786088 -0.0771974952716 -0.0978027388859 0.0764105011639 -0.00181213010669 0.0472094343636 2.05415071202 19.8389425889 4.85579509301 -10768608.2949 -0.0792105091847 -10768612.9793 4.68383149616 1 -10768612.9793 8593656.17945 
4 5904.31566783 4.13867995077 -0.158880587347 0.34546581234 -102.671912508 235.453258155 20915.3376467 0.0722438795387 -0.00271264061502 -0.485852744743 -0.0120514135686 -0.02984977165 0.152530526707 0.129762805821 0.0394318796474 0.0511632588105 0.0827281353459 -0.66983123859 10.9361435728 2.91320593721 -10368050.7502 -0.0990131364809 -10368055.4544 4.69547584467 1 -10368055.4544 8224581.35022 
5 6310.18952056 4.13533506521 -0.118528980091 0.0168846092574 -90.6243043411 58.6424961036 30747.0248633 0.0860430336615 0.113775374692 -0.43195583889 0.00200921105465 -0.014168586761 0.123576918644 -0.0519600246728 0.170268531801 0.0365484378077 0.0728261816156 2.18919102261 13.1596028032 3.4840885644 -10257223.2931 -0.118815763777 -10257228.0171 4.7263858337 1 -10257228.0171 7824023.80548 
6 6305.96028724 3.19796132509 0.00985212570871 0.261148925964 306.98283197 261.835275962 30688.9006983 0.0896365917109 0.315202140418 -0.43577946399 0.00897922216999 0.102051376707 -0.0452340635802 -0.128039584186 0.0574551248205 -0.044063249228 0.082586381655 2.19544099596 14.1303591531 0.787240059078 -9898512.64221 -0.138618391073 -9898517.38599 4.73829621635 1 -9898517.38599 7713196.34839 
7 5462.42249237 3.42549253385 -0.0414714690643 0.249467527292 -214.374210222 116.330206191 15961.1436232 0.0455227407621 -0.145196843729 -0.393258150609 0.025254318799 -0.156392791783 0.141907957835 0.11557466245 -0.0689450928134 -0.0233584200955 -0.00160855279724 0.32846162391 19.6938859201 1.46018762902 -9287803.2036 -0.158421018369 -9287807.96719 4.76841101982 1 -9287807.96719 7354485.69751 
8 5978.80780954 4.24467223176 -0.156365026335 0.180264047077 -90.4551373766 276.104227972 32025.3061769 0.00665244745021 0.0014322766227 -0.521767828949 -0.0329179945668 -0.00711434388932 -0.14585379688 -0.0467021292323 0.02975390664 0.00300968357483 0.0402882850429 -1.86646538981 11.7893802893 3.28720484078 -8990005.74734 -0.178223645666 -8990010.53073 4.78096745722 1 -8990010.53073 6743776.25891 
9 5933.81650209 4.99533128347 -0.0889822769672 0.32718666424 -305.610531105 35.1745860516 17626.5870063 0.00148300208191 -0.0780440905505 -0.423930087424 -0.00812153353904 0.022797953677 0.128914458265 0.0894481471163 -0.0868437847131 -0.0187126048322 -0.0598591243034 -1.71096269965 16.035749636 2.30198994435 -8873881.6793 -0.198026272962 -8873886.4825 4.810330268 1 -8873886.4825 6445978.80264 
10 5374.04785411 3.38227941278 -0.195137988575 0.0174274760173 219.598515506 54.8947864913 22732.4233739 0.0326321089174 -0.164921178428 -0.340569428039 -0.0104126095593 -0.182506015061 -0.102807434717 -0.0201899572994 -0.139618807562 0.044208368369 -0.048561307562 -1.31415701809 18.6163306015 4.48457222524 -8699011.80975 -0.217828900258 -8699016.63275 4.823130209 1 -8699016.63275 6329854.73461 
11 6106.28507314 4.30382108049 -0.148557191576 0.0587580515649 5.57338892217 280.51145052 41950.9687881 0.027376127698 0.0327266123877 -0.44298398397 0.0047395684737 -0.115340669492 -0.095605546565 -0.0584788494132 -0.0580560129597 0.0431192871323 0.0702379059705 2.91975714228 12.8553584171 1.48794114231 -7831034.21005 -0.237631527554 -7831039.05285 4.84403555933 1 -7831039.05285 6405790.19319 
12 5939.37862321 3.75663607517 0.0808825311355 0.0441196662132 68.7236685205 288.239656817 35236.6317396 0.0245973847268 -0.127181294994 -0.484705029477 -0.00203318692568 -0.232276232682 -0.0503249159326 -0.0775328979238 0.0242589073382 0.0230937265943 0.0857107941591 2.16411183986 7.92516667115 0.618639841252 -7719284.77056 -0.25743415485 -7719289.63317 4.86492046062 1 -7719289.63317 5537812.59348 
13 5184.02872863 4.19524110065 -0.128737386118 0.329075753556 32.687678552 122.510927847 37419.1808741 0.0558379335224 0.00159858933515 -0.513216050722 0.00865650163986 0.126387226784 0.0574922024583 -0.0365484272265 -0.0243523572843 0.0345608333603 -0.0619682027157 1.87148104216 12.0443510329 0.141686669107 -7482390.64328 -0.277236782147 -7482395.52568 4.88571813982 3 -7482395.52568 5426063.154 
14 5544.44569558 3.51359543999 0.187483624933 0.121770337757 -392.528015212 143.720059384 20549.0187484 0.0447214021879 0.236143833532 -0.356037912559 -0.0185437418715 -0.149865044631 0.170182959688 0.0380590548747 0.185140252374 -0.0494135670564 0.0171209327911 0.710049882836 12.2975911101 1.46891462998 -7456873.18802 -0.297039409443 -7456878.09023 4.89962720871 1 -7456878.09023 5189169.02671 
15 6215.30365904 3.77707417103 -0.124202372826 0.157775966441 -329.303693438 296.302766231 16992.4467087 0.0642873024496 -0.0259517656897 -0.272525021965 0.0335451338008 0.0779795740964 0.0768660932107 -0.00266744688998 0.159796514278 -0.0117398165006 -0.016915122376 -1.13606503177 8.78944979737 2.19444444725 -7445838.91208 -0.316842036739 -7445843.83409 4.92049457878 1 -7445843.83409 5163651.57145 
16 6034.44101579 4.68096013407 -0.104092664648 0.238177853752 -132.743890642 244.374146067 40921.579175 0.00209531061462 0.250563347254 -0.33572096284 0.034441975164 -0.202050200132 0.125552671842 0.0875083117885 -0.105112717579 -0.0251340321178 0.0569601766565 0.766791524541 11.1425637369 1.63125086608 -7362964.5575 -0.336644664035 -7362969.49932 4.94136321079 5 -7362969.49932 5152617.29552 
17 5455.85914207 4.60070796498 -0.0089446168044 0.303880091329 296.098307791 281.125638409 39544.2889827 0.0364373141629 -0.0878913723654 -0.480800355384 0.0164205405362 -0.115790377978 0.208617784343 0.0607411862149 -0.0135937999434 -0.00197680426238 0.0894768993 -0.185637468886 17.0952245322 3.66425939688 -7334120.06483 -0.356447291331 -7334125.02644 4.96221261099 2 -7334125.02644 5069742.94094 
18 6126.96938448 4.57953746487 0.0691010219775 0.270895056729 330.471895984 278.21750983 30121.3609975 0.0541464516193 -0.186306586617 -0.310219666013 0.0223781741104 -0.00425398452509 0.00419306056546 0.0997607162903 0.0166898457237 -0.0164374603796 0.0586926382703 -0.313272721678 18.272227023 0.476137975469 -7274142.88983 -0.376249918627 -7274147.87125 4.98304682877 1 -7274147.87125 5040898.44826 
19 6469.47753149 4.75724375888 0.011437704392 0.0976117943446 64.5358444511 293.065926947 23275.4386249 0.0808675406014 0.0264162851788 -0.276112893917 0.0274185354638 -0.159276924478 -0.0108062353049 -0.0815629475456 -0.102193662913 0.0295424732008 0.0613851441079 -0.63674326554 11.4177776617 4.24495284765 -7143410.78613 -0.396052545924 -7143415.78736 5.00383804925 1 -7143415.78736 4980921.27327 
20 6007.5620552 3.46091407965 0.127522975968 0.257958889664 -288.962174867 82.9452686357 11358.71791 0.0651175877158 -0.0988800141387 -0.266461348057 0.0281971010832 -0.0877774549458 -0.126877222741 -0.017570679343 -0.000934960046604 0.00161810080674 0.0136672167894 -1.10296425814 10.9047817252 4.74166531025 -7002152.44763 -0.41585517322 -7002157.46865 5.01806539949 1 -7002157.46865 4850189.16957 
21 5166.25271256 3.08975053277 0.0632366775913 0.305899097703 57.7563902081 290.198957754 31769.0541685 0.0329061508676 -0.1048126938 -0.49725659066 -0.0056989988182 -0.150598033546 -0.101694615359 0.115572474256 -0.0672201850949 0.00693700352834 0.0657054120829 2.81063287435 17.8618575869 1.51785652697 -6758161.26628 -0.435657800516 -6758166.3071 5.03893410414 1 -6758166.3071 4708930.83106 
22 5913.48023464 3.65815685985 0.03646003837 0.385457764942 273.087733948 179.785308013 30205.2328523 0.0620488354375 -0.0219374240161 -0.334457954724 -0.0198279253804 0.0727713471964 0.188582380247 0.0637324859997 0.17184272967 -0.0274690784922 0.0499306560518 2.66305903486 16.7151984967 3.78108572606 -6697264.54963 -0.455460427812 -6697269.61026 5.05970805883 2 -6697269.61026 4464939.64971 
23 6053.77507024 4.60315613006 -0.137968461122 0.0290384969966 333.795460106 159.864483407 13830.6047996 0.0569632436782 0.254729119775 -0.251955191028 -0.00604028073848 -0.13666316061 0.0778361666779 -0.0817268180992 0.161450531375 0.00606610025006 -0.0641383875797 -1.50089938006 16.2690374825 1.70582445778 -6686380.97294 -0.475263055108 -6686386.05337 5.08046489488 1 -6686386.05337 4404042.93306 
24 6473.0503321 4.7025059118 -0.0398092779374 0.163122648269 -334.469406969 85.4761352685 31990.9738468 0.00629595570628 0.204535847533 -0.316766076515 0.0255750873203 -0.0892353970573 -0.00070191011098 -0.0180009910066 -0.0902011941366 0.0288484801551 0.0350276420159 2.30575872729 16.8740006266 3.45082699017 -6655128.94302 -0.495065682404 -6655134.04326 5.10121562984 1 -6655134.04326 4393159.35637 
25 5862.76548159 4.46989572731 0.0998764591568 0.232726960687 -127.649272604 205.371102506 21255.180862 0.0981234138791 -0.114750478029 -0.308182460089 -0.03315650051 -0.183164064332 0.0836427808825 -0.129842916162 0.0591342654695 -0.0283007460918 -0.000792326526351 -1.08211053041 16.4051489588 2.24407325339 -6516611.35266 -0.514868309701 -6516616.47269 5.12192638591 1 -6516616.47269 4361907.32646 
26 5761.6573444 4.33651620137 0.0910923092234 0.18372247076 227.235395303 116.551579616 39846.5382252 0.0498975404504 -0.135504567135 -0.277747014021 -0.0214256116959 -0.197623093712 -0.00148809928177 0.033800988046 0.00501643385662 0.00131896518842 0.0815850224825 0.53343743021 12.8721193413 2.59041951051 -6489894.18132 -0.534670936997 -6489899.32116 5.14264598582 1 -6489899.32116 4223389.73609 
27 6165.24629725 4.1525620743 -0.247164601293 0.178763865806 -181.666225627 203.655050449 29002.4025174 0.00936686929009 0.0502919788643 -0.0875933355402 -0.025549010883 -0.147252754921 0.147900156429 0.0406221333045 -0.128456740414 -0.0362890867913 -0.0618862230558 1.7529593243 8.5012467471 4.73653049922 -6391243.74959 -0.554473564293 -6391248.90924 5.1573643256 1 -6391248.90924 4196672.56476 
28 5181.92058925 3.89928319615 -0.140752991448 0.0719558254981 32.032230653 49.3064666907 39949.5730809 0.0392746100023 0.0278816453342 -0.470949004896 -0.0299736281587 -0.20914944335 -0.11429867077 -0.0907600107803 0.166882911709 0.052388155197 0.0771054525218 0.782284722863 6.08049256919 3.97886427432 -6354460.97317 -0.574276191589 -6354466.15262 5.17808548734 1 -6354466.15262 4243399.5129 
29 5833.82105863 3.28562683858 0.213734206346 0.0910379547104 -74.4045874457 87.2789605705 33507.4765217 0.035241125543 -0.0267322342874 -0.240108695957 0.029996958637 0.0979750178423 0.188560351852 0.0844600519691 -0.129217484639 -0.0453234469847 0.0403887288716 -1.4813615797 11.7520912323 0.91025905018 -6245326.42462 -0.594078818885 -6245331.62387 5.19880135357 1 -6245331.62387 4206616.73648 
30 6066.70359091 4.28918339765 0.164269799017 0.0616897887606 -397.258094271 90.5592747166 11655.306008 0.0282467596922 -0.135259058937 -0.192239333774 0.0295016536795 -0.185742673946 -0.114230498794 -0.154883549878 -0.0371542244867 0.0262539672722 -0.0271037753484 1.20697752706 10.2042284308 0.945304659159 -6198633.55801 -0.613881446182 -6198638.77707 5.21949054021 2 -6198638.77707 4097482.18792 
31 5625.69505769 3.60447010435 0.119983229346 0.250471804055 -179.706619235 236.185116544 29913.4307371 0.0154169152978 0.108889140921 -0.417548389934 -0.0154450087827 0.0281024833331 0.0442101769663 0.0338533897262 -0.0380897516171 0.0124828515208 0.0549359352196 1.88527501975 5.99101021383 4.0636971621 -6108135.86257 -0.633684073478 -6108141.10142 5.24015707895 5 -6108141.10142 4050789.32132 
32 5475.82709264 4.72060212344 0.230993519122 0.0830136407119 11.8140284997 241.76961633 29723.4506854 0.0892458982223 -0.000457885815739 -0.494895257668 -0.00317820328299 -0.103746680421 -0.0503341993618 -0.143850297181 -0.110748341266 -0.0195557157037 -0.0370362484244 2.65361681747 16.9372648173 4.3978098276 -6020108.4963 -0.653486700774 -6020113.75496 5.26079870667 2 -6020113.75496 3960291.62587 
33 5386.56909695 4.77655731571 -0.11860865323 0.285943696452 376.308004354 23.4093621134 35995.8039262 0.0491275062864 0.00729852034225 -0.256824473637 -0.0060184403575 0.100753896792 -0.130033707843 -0.124958048433 0.0213384670617 0.037791983111 0.058297794943 -0.577708525017 16.7921162124 2.16280787631 -6008095.53464 -0.67328932807 -6008100.8131 5.27585764974 1 -6008100.8131 3872264.25961 
34 5810.15599476 4.33740392214 0.19232539104 0.153093073078 -314.206290831 189.280269777 27690.0151101 0.0330154563956 0.163625938898 -0.290204744197 -0.00322298314473 0.0772202466629 -0.061886828225 0.0992222029612 0.180652874383 0.0208354702956 0.0542371108275 -0.230674626144 18.456422106 4.05607031002 -5852204.63928 -0.693091955366 -5852209.93754 5.29656164069 1 -5852209.93754 3860251.29795 
35 5473.52458905 4.23293775061 -0.0276762685944 0.32181254505 -200.141303402 23.2741461709 23772.0171209 0.0783978612989 -0.146647887052 -0.106078973107 0.00764538775441 -0.260502077976 0.191388776621 -0.115269595497 0.00510041342902 0.0102244501 0.0508189212085 -1.57712469024 6.93145867187 4.73018974467 -5796565.38073 -0.712894582662 -5796570.6988 5.31720635761 2 -5796570.6988 3704360.40259 
